Clebsch-Gordan coefficients for (1,1) x (1,1) -> (2,2), degeneracy 1:
     (200) , (100) , (100) , sqrt(1) , (221)
      (201) , (100) , (101) , sqrt(1/2) , (221)
      (201) , (101) , (100) , sqrt(1/2) , (221)
      (202) , (101) , (101) , sqrt(1) , (221)
      (211) , (100) , (111) , sqrt(9/20) , (221)
      (212) , (101) , (111) , sqrt(9/20) , (221)
      (211) , (100) , (201) , sqrt(1/60) , (221)
      (211) , (101) , (200) , -sqrt(1/30) , (221)
      (212) , (100) , (202) , sqrt(1/30) , (221)
      (212) , (101) , (201) , -sqrt(1/60) , (221)
      (211) , (111) , (100) , sqrt(9/20) , (221)
      (212) , (111) , (101) , sqrt(9/20) , (221)
      (211) , (200) , (101) , -sqrt(1/30) , (221)
      (211) , (201) , (100) , sqrt(1/60) , (221)
      (212) , (201) , (101) , -sqrt(1/60) , (221)
      (212) , (202) , (100) , sqrt(1/30) , (221)
      (222) , (100) , (212) , sqrt(3/40) , (221)
      (222) , (101) , (211) , -sqrt(3/40) , (221)
      (222) , (111) , (111) , sqrt(27/40) , (221)
      (222) , (200) , (202) , -sqrt(1/120) , (221)
      (222) , (201) , (201) , sqrt(1/120) , (221)
      (222) , (202) , (200) , -sqrt(1/120) , (221)
      (222) , (211) , (101) , -sqrt(3/40) , (221)
      (222) , (212) , (100) , sqrt(3/40) , (221)
      (300) , (100) , (200) , sqrt(1/2) , (221)
      (301) , (100) , (201) , sqrt(1/3) , (221)
      (301) , (101) , (200) , sqrt(1/6) , (221)
      (302) , (100) , (202) , sqrt(1/6) , (221)
      (302) , (101) , (201) , sqrt(1/3) , (221)
      (303) , (101) , (202) , sqrt(1/2) , (221)
      (300) , (200) , (100) , sqrt(1/2) , (221)
      (301) , (200) , (101) , sqrt(1/6) , (221)
      (301) , (201) , (100) , sqrt(1/3) , (221)
      (302) , (201) , (101) , sqrt(1/3) , (221)
      (302) , (202) , (100) , sqrt(1/6) , (221)
      (303) , (202) , (101) , sqrt(1/2) , (221)
      (311) , (100) , (211) , sqrt(1/5) , (221)
      (312) , (100) , (212) , sqrt(1/10) , (221)
      (312) , (101) , (211) , sqrt(1/10) , (221)
      (313) , (101) , (212) , sqrt(1/5) , (221)
      (311) , (111) , (200) , sqrt(3/10) , (221)
      (312) , (111) , (201) , sqrt(3/10) , (221)
      (313) , (111) , (202) , sqrt(3/10) , (221)
      (311) , (200) , (111) , sqrt(3/10) , (221)
      (312) , (201) , (111) , sqrt(3/10) , (221)
      (313) , (202) , (111) , sqrt(3/10) , (221)
      (311) , (200) , (201) , sqrt(0) , (221)
      (311) , (201) , (200) , sqrt(0) , (221)
      (312) , (200) , (202) , sqrt(0) , (221)
      (312) , (201) , (201) , sqrt(0) , (221)
      (312) , (202) , (200) , sqrt(0) , (221)
      (313) , (201) , (202) , sqrt(0) , (221)
      (313) , (202) , (201) , sqrt(0) , (221)
      (311) , (211) , (100) , sqrt(1/5) , (221)
      (312) , (211) , (101) , sqrt(1/10) , (221)
      (312) , (212) , (100) , sqrt(1/10) , (221)
      (313) , (212) , (101) , sqrt(1/5) , (221)
      (322) , (111) , (211) , sqrt(9/20) , (221)
      (323) , (111) , (212) , sqrt(9/20) , (221)
      (322) , (200) , (212) , sqrt(1/30) , (221)
      (322) , (201) , (211) , -sqrt(1/60) , (221)
      (323) , (201) , (212) , sqrt(1/60) , (221)
      (323) , (202) , (211) , -sqrt(1/30) , (221)
      (322) , (211) , (111) , sqrt(9/20) , (221)
      (323) , (212) , (111) , sqrt(9/20) , (221)
      (322) , (211) , (201) , -sqrt(1/60) , (221)
      (322) , (212) , (200) , sqrt(1/30) , (221)
      (323) , (211) , (202) , -sqrt(1/30) , (221)
      (323) , (212) , (201) , sqrt(1/60) , (221)
      (400) , (200) , (200) , sqrt(1) , (221)
      (401) , (200) , (201) , sqrt(1/2) , (221)
      (401) , (201) , (200) , sqrt(1/2) , (221)
      (402) , (200) , (202) , sqrt(1/6) , (221)
      (402) , (201) , (201) , sqrt(2/3) , (221)
      (402) , (202) , (200) , sqrt(1/6) , (221)
      (403) , (201) , (202) , sqrt(1/2) , (221)
      (403) , (202) , (201) , sqrt(1/2) , (221)
      (404) , (202) , (202) , sqrt(1) , (221)
      (411) , (200) , (211) , sqrt(1/2) , (221)
      (412) , (200) , (212) , sqrt(1/6) , (221)
      (412) , (201) , (211) , sqrt(1/3) , (221)
      (413) , (201) , (212) , sqrt(1/3) , (221)
      (413) , (202) , (211) , sqrt(1/6) , (221)
      (414) , (202) , (212) , sqrt(1/2) , (221)
      (411) , (211) , (200) , sqrt(1/2) , (221)
      (412) , (211) , (201) , sqrt(1/3) , (221)
      (412) , (212) , (200) , sqrt(1/6) , (221)
      (413) , (211) , (202) , sqrt(1/6) , (221)
      (413) , (212) , (201) , sqrt(1/3) , (221)
      (414) , (212) , (202) , sqrt(1/2) , (221)
      (422) , (211) , (211) , sqrt(1) , (221)
      (423) , (211) , (212) , sqrt(1/2) , (221)
      (423) , (212) , (211) , sqrt(1/2) , (221)
      (424) , (212) , (212) , sqrt(1) , (221)
 
